profile_image,experience,price,categories,supermalter,missions,profil,link,creation_date,Region_Name
https://dam.malt.com/vabndz3c9dkhsimtvgww?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,550 €,"['Administrateur base de données', 'Administrateur Système et Réseaux', 'Développeur CMS', 'Développeur ERP', 'Développeur Web Back-end', 'Développeur Web Front-end', 'DevOps', 'Intégrateur Web']",0,12.0,aureliendazy,https://www.malt.fr/profile/aureliendazy,2013-06-06,bourgogne-franche-comté
https://dam.malt.com/r3nb6gaf6723bi1unhhx?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,235 €,[],0,,yourigalescot,https://www.malt.fr/profile/yourigalescot,2014-02-18,île-de-france
https://dam.malt.com/pllhwpaapz84yfqmc7rw?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,350 €,"['Photographe', 'Graphiste', 'Illustrateur']",0,,julientrezeux,https://www.malt.fr/profile/julientrezeux,2014-02-12,île-de-france
No profile image,-,125 €,['Graphiste'],0,,faroukmoulai,https://www.malt.fr/profile/faroukmoulai,2013-02-28,provence-alpes-côte d'azur
No profile image,-,600 €,['Développeur Web Back-end'],0,,romainpetit,https://www.malt.fr/profile/romainpetit,2014-01-03,pays de la loire
https://dam.malt.com/ivytwbrc8fnhyn9i1vvb?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,900 €,"['Développeur Web Back-end', 'Développeur Web Front-end']",0,,cedricexbrayat,https://www.malt.fr/profile/cedricexbrayat,2013-02-15,auvergne-rhône-alpes
https://dam.malt.com/l17fdtf7komi07jdejjf?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,1 000 €,[],0,,zahirhamroune,https://www.malt.fr/profile/zahirhamroune,2013-09-24,île-de-france
https://dam.malt.com/t9how9tbl21g1guirogn?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,600 €,"['UI Designer', 'UX Designer']",0,24.0,juliebenhaim,https://www.malt.fr/profile/juliebenhaim,2013-07-01,nouvelle-aquitaine
https://dam.malt.com/9196fe72-8800-4b7e-970f-b59bd49442c5?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,600 €,"['Chef de projet digital', 'Chef de projet mobile', 'Chef de projet SI', 'Développeur Mobile', 'Développeur Web Back-end', 'Développeur Web Front-end', 'Ingénieur logiciel']",1,17.0,clementsauvage,https://www.malt.fr/profile/clementsauvage,2013-09-24,hauts-de-france
https://dam.malt.com/roie4adl0vagpinue83p?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,550 €,[],0,,daviddumon,https://www.malt.fr/profile/daviddumon,2013-04-08,nouvelle-aquitaine
https://dam.malt.com/v0yk8hpllvaa5nwohyxr?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,15 ans et +,450 €,"['Graphiste', 'Illustrateur', 'Webdesigner']",0,9.0,helenecourtois,https://www.malt.fr/profile/helenecourtois,2013-09-16,île-de-france
No profile image,-,750 €,[],0,,yoannmassicot,https://www.malt.fr/profile/yoannmassicot,2014-01-20,provence-alpes-côte d'azur
No profile image,-,300 €,['Réalisateur vidéo'],0,,anthonyexpert,https://www.malt.fr/profile/anthonyexpert,2013-05-21,île-de-france
https://dam.malt.com/z0rqsfothqtnqomyiqsj?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,,['Content manager'],0,,alexandrefoucray,https://www.malt.fr/profile/alexandrefoucray,2013-09-03,provence-alpes-côte d'azur
https://dam.malt.com/xqi6gps2evkwory2ivvf?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,500 €,['Photographe'],0,,sonjajuillet,https://www.malt.fr/profile/sonjajuillet,2013-11-20,île-de-france
https://dam.malt.com/j5ys6kodshzuadx4wrqs?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,900 €,"['Développeur Web Back-end', 'Développeur Web Front-end']",0,,paulchobert,https://www.malt.fr/profile/paulchobert,2013-11-14,île-de-france
https://dam.malt.com/4b2127e6-dab1-4406-a381-c46500645021?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,670 €,"['Product Manager', 'UX Designer']",0,,dessimiramanolova,https://www.malt.fr/profile/dessimiramanolova,2013-06-30,île-de-france
https://dam.malt.com/as2lb7bigfkodgrmfv1p?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,600 €,['Consultant analytics'],0,9.0,tatianapesnya,https://www.malt.fr/profile/tatianapesnya,2013-08-07,île-de-france
