,
01_prenom,02_genre
Aaliyah,f
aapeli,m
aapo,m
aaren,"m,f"
aarne,m
Aaron,m
aarón,m
aatami,m
aatto,m
aatu,m
abaddon,m
abbán,m
abbas,m
abbey,f
abbie,f
abby,f
Abd,m
abd-al-aziz,m
abd-al-malik,m
abd-al-qadir,m
abd-al-rahman,m
abd-allah,m
Abdallah,m
Abdel,m
Abdelkader,m
Abdellah,m
Abdellatif,m
Abderrahmane,m
Abdou,m
Abdoul,m
Abdoulaye,m
Abdourahmane,m
Abdramane,m
abdul,m
abdul-aziz,m
abdul-rahman,m
abdullah,m
abe,m
abednego,m
abegail,f
Abel,m
ábel,m
abelone,f
abena,f
abeni,f
abhay,m
abiah,"m,f"
abidan,m
abidemi,m
abiel,m
Abigaël,f
Abigaëlle,f
Abigail,f
Abigaïl,f
abigayle,f
abihu,m
abijah,"m,f"
abilene,f
abimael,m
abiram,m
abisai,m
abishag,f
abishai,m
abital,f
abla,f
abner,m
Aboubacar,m
Aboubakar,m
Abraham,m
abram,m
absalom,m
absolon,m
Aby,f
acacia,f
acacius,m
acantha,f
ace,m
achaicus,m
achan,m
achieng,f
Achille,m
achilles,m
achim,m
Achraf,m
acke,m
Ada,f
adah,f
adair,m
adalbert,m
adalberto,m
adalheid,f
adalia,m
Adam,m
ádám,m
Adama,m
Adame,m
adamina,f
adamo,m
adán,m
adão,m
adara,f
addie,f
addison,"m,f"
addy,f
Adel,m
adela,f
adelaide,f
Adelaïde,f
Adélaïde,f
Adèle,f
adelheid,f
adelia,f
Adelie,f
Adélie,f
adelina,f
Adeline,f
adelle,f
adelmar,m
Adem,m
Aden,m
adena,f
adhara,f
adhiambo,f
adi,f
Adib,m
Adil,m
adina,"f,m"
adino,m
adisa,m
aditya,m
Adja,f
adjoa,f
adlai,m
adolf,m
adolfo,m
adolph,m
adolphe,m
adolphus,m
adonai,m
adonia,f
adonijah,m
adonis,m
adora,f
adorinda,f
adorján,m
adrasteia,f
adrastos,m
adria,f
adriaan,m
Adrian,m
adrián,m
Adriana,f
adrianna,f
adrianne,f
Adriano,m
Adrien,m
adrienn,f
Adrienne,f
adwoa,f
æðelbert,m
æðelfrid,m
æðelmær,m
æðelred,m
æðelstan,m
æðelþryð,f
aegle,f
ælfwine,m
aella,f
ælred,m
aemilia,f
aeneas,m
aengus,m
aeolus,m
aeron (1),"m,f"
aeron (2),"f,m"
aeronwen,f
aeronwy,f
æsc,m
aeschylus,m
aeson,m
aesop,m
afanasi,m
afanasy,m
afanen,f
afia,f
afolabi,m
afon,"f,m"
afonso,m
afra,f
africa,f
afua,f
agafya,f
agamemnon,m
agape,f
agapios,m
agata,f
agatha,f
agathangelos,f
Agathe,f
agathon,m
agaue,f
aggie,f
aghavni,f
ági,f
Aglae,f
Aglaé,f
aglaia,f
aglaya,f
aglea,f
agnes,f
Agnès,f
ágnes,f
agnese,f
agnessa,f
agneta,f
agnethe,f
Agnieszka,f
agostina,f
agostinho,m
agostino,m
ágoston,m
ágota,f
agrafena,f
agrippa,m
agrippina,f
agrona,f
águeda,f
agustín,m
ah,"m,f"
ahab,m
aharon,m
Ahmad,m
Ahmed,m
ahmet,m
ahriman,m
ahtahkakoop,m
ahura mazda,m
ahuva,f
ai (1),f
ai (2),f
aias,m
Aicha,f
Aïcha,f
aida,f
Aïda,f
Aidan,m
Aïdan,m
Aiden,m
aignéis,f
aikaterine,f
ailbhe,"m,f"
aileas,f
aileen,f
ailill,m
ailín,m
ailís,f
ailpein,m
ailsa,f
Aimé,m
Aimee,f
aimée,f
aimo,m
aina,f
Aïna,f
aindrea,m
aindréas,m
aindriú,m
áine,f
aingeal,f
aino,f
ainsley,"m,f"
ainslie,"m,f"
aintzane,f
aiolos,m
aisha,f
Aïsha,f
aislin,f
aisling,f
aislinn,f
Aïssa,m
Aïssata,f
Aissatou,f
Aïssatou,f
aithne,f
aitor,m
ajax,m
ajeet,m
ajit,m
ajith,m
akakios,m
akamu,m
akanksha,f
akeem,m
akemi,f
akhil,m
aki,"m,f"
akiko,f
akilah,f
akilina,f
akim,m
akinyi,f
akio,m
akira,m
akiva,m
akoni,m
akosua,f
Akram,m
Aksel,m
Aksil,m
aksinya,f
aku,m
akua,f
akulina,f
al,m
alaba,f
Alain,m
alaina,f
Alan,m
alana,f
alanis,f
alanna,f
alannah,f
alannis,f
alaois,m
alaric,m
alasdair,m
Alassane,m
alastair,m
alastar,m
alastríona,f
alayna,f
Alba,f
Alban,m
Albane,f
alberic,m
Albert,m
alberta,f
albertina,f
Albertine,f
alberto,m
albina,f
albrecht,m
alby,m
alcaeus,m
alcippe,f
alcyone,f
alden,m
aldo,m
aldous,m
